name,label
Adams,Adams
Alamosa,Alamosa
Arapahoe,Arapahoe
Archuleta,Archuleta
Baca,Baca
Bent,Bent
Boulder,Boulder
Broomfield,Broomfield
Chaffee,Chaffee
Cheyenne,Cheyenne
Clear Creek,Clear Creek
Conejos,Conejos
Costilla,Costilla
Crowley,Crowley
Custer,Custer
Delta,Delta
Denver,Denver
Dolores,Dolores
Douglas,Douglas
Eagle,Eagle
Elbert,Elbert
El Paso,El Paso
Fremont,Fremont
Garfield,Garfield
Gilpin,Gilpin
Grand,Grand
Gunnison,Gunnison
Hinsdale,Hinsdale
Huerfano,Huerfano
Jackson,Jackson
Jefferson,Jefferson
Kiowa,Kiowa
Kit Carson,Kit Carson
Lake,Lake
La Plata,La Plata
Larimer,Larimer
Las Animas,Las Animas
Lincoln,Lincoln
Logan,Logan
Mesa,Mesa
Mineral,Mineral
Moffat,Moffat
Montezuma,Montezuma
Montrose,Montrose
Morgan,Morgan
Otero,Otero
Ouray,Ouray
Park,Park
Phillips,Phillips
Pitkin,Pitkin
Prowers,Prowers
Pueblo,Pueblo
Rio Blanco,Rio Blanco
Rio Grande,Rio Grande
Routt,Routt
Saguache,Saguache
San Juan,San Juan
San Miguel,San Miguel
Sedgwick,Sedgwick
Summit,Summit
Teller,Teller
Washington,Washington
Weld,Weld
Yuma,Yuma
