name,label
accessone,Access One Inc
acn,"ACN Communications Services, Inc"
acn,"ACN, Inc"
adaptive,Adaptive Communications LLC
aerux,Aerux Broadband
agate,Agate Mutual
agate,Agate Mutual Telephone Cooperative Association
airbits,"Airbits, LLC"
airespring,"Airespring, Inc."
aligntec,AlignTec Incorporated
allo,Allo Communications LLC
zayo,"Allstream Business US, Inc."
zero,Amigo Networks
apxnet,APXnet
secom,Ark Valley Internet
ascent,Ascent Broadband
att,"AT&T Corp, Inc."
auwireless,AU Wireless
backcountry,Backcountry Broadband
jed,Beulahland Communications
bijou,Bijou Telephone Cooperative Association
blanca,Blanca Networks
blanca,Blanca Telephone Company
blue,Blue Lightning
bysky,"BySky, Inc."
highline,Cable CO LLC
greatplains,CAP Cable
carbon,Carbon Valley Internet
ting,CedarNet
lumen,CenturyLink
charter,Charter Communications
ciello,Ciello
cimarron,Cimarron Telecommunications
glenwood,City of Glenwood Springs Community Broadband Network
longmont,City of Longmont
pulse,City of Loveland
cityless,"Cityless Internet Services, LLC"
clearcreek,Clear Creek Broadband
clearnetworx,Clearnetworx
cogent,"Cogent Communications, Inc."
central,Colorado Central Telecom
hilltop,Colorado Community Fiber
coloradomobile,"Colorado Mobile Inet, LLC"
hilltop,Colorado Wireless Exchange Cooperative
comcast,Comcast
commnet,Commnet Wireless
consolidated,Consolidated Communications
coppermountain,Copper Mountain Consolidated Metropolitan District
central,"Crestone Telecom, LLC"
leap,Cricket Wireless
crown,Crown Castle Fiber
secom,DD Wireless
delta,"Delta County Tele-comm, Inc."
elevatefiber,Delta Montrose Electric Association (DMEA)
rico,Direct Communications
directlink,"DirectLink, LLC"
dish,DISH Network
dubois,Dubois Telephone Exchange (DTE)
vyve,Eagle Broadband
ecin,Eastern Colorado Independent Networks
esrta,"Eastern Slope Rural Telephone Association, Inc."
echoit,Echo IT Consulting
elevatefiber,Elevate Fiber
elevated,Elevated Access LLC
elevations,Elevations Ethernet
elite,Elite Broadband
emery,Emery Telecom
estesvalley,"Estes Valley Networks, Inc."
consolidated,"Fairpoint Communications, Inc"
stratus,Falcon Broadband
farmerstelecom,Farmers Telecommunications
farmers,Farmers Telephone Company
fasttrack,"FastTrack Communications, Inc"
force,Force Broadband
forethoughtnet,Forethought
ftcollins,Fort Collins Connexion
front,"Front Range Internet, Inc."
megapath,Fusion Connect
megapath,Fusion Networks
forethoughtnet,Futurum Communications
global,Global Broadband Corporation
megapath,Global Capacity
globalcloud,Global Cloud Xchange
grandcounty,Grand County Internet Services
grandvalley,"Grand Valley Telecommunications, Inc"
greatplains,"Great Plains Communications, Inc."
haxtun,Haxtun Telephone Co
high,"High Rapid Networks, LLC"
highline,Highline Internet
hilltop,Hilltop Broadband
hispeed4u,"HiSpeed 4 U, Inc"
hotwire,Hotwire Communications
hughesnet,HughesNet
iLOKA,iLOKA Inc
impact,Impact Telecom
visionary,Internet Colorado
vistabeam,Inventive Wireless of Nebraska
ion,ION Communications
jed,J.e.d. Enterprises
jade,"Jade Communications, LLC"
k2comm,"K2 Communications, LLC"
kellin,Kellin Communications
kentec,KenTec Communications
kremmling,Kremmling Technology Services
dish,"Liberty-Bell Telecom, LLC"
lightgig,LightGig Communications
impact,Lingo
livewirenet,"LiveWire Networks, Inc."
pulse,Loveland Pulse
lumen,Lumen Technologies
luminate,Luminate Broadband
z3n,Lyons Communications
z3n,"Lyons Communications, LLC"
magnolia,Magnolia Road Internet Coop (MRIC)
visionary,Mammoth Networks
maverix,Maverix Broadband
megapath,MegaPath Corporation
mettel,Metropolitan Telecommunications Holding
mettel,MetTel
milehigh,MHO Networks
iLOKA,Microtech-tel
mountain,Mountain Broadband
mbnc,Mountain Broadband Network and Communications
mountainwizard,Mountain Computer Wizards
mountaininet,Mountain inet
mountainvillage,Mountain Village Metropolitan District
nedernet,"Nedernet, Inc."
neteo,NETEO High Speed Internet
force,NetLive Networks
iLOKA,NewCloud Networks
longmont,NextLight
nimbus,Nimbus Solutions
nucla,Nucla-Naturita Telephone Company
nunn,Nunn Telephone Company
optimus,"Optimus Communications, LLC"
other,Other
ouray,OurayNet
pathfinder,PathFinder Broadband LLC
pctelcorp,PC Telcorp
pci,PCI Broadband
pctelcorp,PCTelecom
forethoughtnet,Peak Internet
peetz,Peetz Communications
peetz,Peetz Cooperative Telephone Company
phillips,Phillips County Telephone Company
jed,Pine Drive Telephone Company
pioneer,Pioneer Communications
plains,"Plains Cooperative Telephone Association, Inc."
vistabeam,Plains.Net
agate,"Prairie Networks, LLC"
prairieburg,Prairieburg Telephone Company
vistabeam,Premier Systems Unlimited
pueblo,"Pueblo Wireless, LLC"
dubois,Range Telephone Cooperative
dubois,Range Telephone Cooperative
rebeltec,"Rebeltec Communications, LLC"
rednet,REDNET Networks
coppermountain,Resort Internet
rico,Rico Telephone Company
